     1       1      0.002115      -0.000966      -0.005837       0.008274      -0.000430       0.008699      -0.000000      -0.017225       0.001544      -0.011201  
     1       2      0.004184      -0.002072      -0.011318       0.015814      -0.000048       0.016477      -0.000941      -0.031979       0.000981      -0.020581  
     1       3      0.006158      -0.003441      -0.016114       0.021948       0.001780       0.022578      -0.003493      -0.042196      -0.003028      -0.026908  
     1       4      0.007996      -0.005164      -0.019949       0.026132       0.005371       0.026542      -0.007848      -0.046551      -0.010556      -0.029916  
     1       5      0.009654      -0.007283      -0.022625       0.027993       0.010644       0.028280      -0.013619      -0.044656      -0.020351      -0.030360  
     1       6      0.011097      -0.009787      -0.024029       0.027368       0.017125       0.028078      -0.019874      -0.037099      -0.030239      -0.029712  
     1       7      0.012292      -0.012608      -0.024149       0.024311       0.024025       0.026522      -0.025305      -0.025305      -0.037856      -0.029609  
     1       8      0.013213      -0.015625      -0.023064       0.019095       0.030388       0.024373      -0.028487      -0.011262      -0.041441      -0.031259  
     1       9      0.013838      -0.018666      -0.020941       0.012181       0.035271       0.022407      -0.028197       0.002841      -0.040432      -0.034990  
     1      10      0.014155      -0.021528      -0.018018       0.004185       0.037921       0.021249      -0.023707       0.014996      -0.035643      -0.040118  
     1      11      0.014155      -0.023992      -0.014578      -0.004182       0.037920       0.021250      -0.014996       0.023706      -0.028974      -0.045171  
     1      12      0.013839      -0.025837      -0.010927      -0.012178       0.035271       0.022408      -0.002841       0.028196      -0.022742      -0.048393  
     1      13      0.013213      -0.026867      -0.007365      -0.019092       0.030388       0.024375       0.011263       0.028486      -0.018878      -0.048355  
     1      14      0.012293      -0.026923      -0.004160      -0.024309       0.024025       0.026523       0.025306       0.025304      -0.018261      -0.044456  
     1      15      0.011098      -0.025902      -0.001527      -0.027367       0.017125       0.028080       0.037100       0.019873      -0.020423      -0.037151  
     1      16      0.009655      -0.023765       0.000392      -0.027992       0.010644       0.028282       0.044657       0.013618      -0.023724      -0.027806  
     1      17      0.007996      -0.020550       0.001536      -0.026130       0.005371       0.026543       0.046552       0.007847      -0.025948      -0.018256  
     1      18      0.006159      -0.016364       0.001931      -0.021947       0.001780       0.022579       0.042197       0.003492      -0.025089      -0.010195  
     1      19      0.004184      -0.011383       0.001684      -0.015813      -0.000048       0.016478       0.031979       0.000940      -0.020082      -0.004623  
     1      20      0.002116      -0.005838       0.000966      -0.008274      -0.000430       0.008699       0.017225      -0.000000      -0.011203      -0.001544  

     2       1      0.004184      -0.001683      -0.011383       0.015814      -0.001577       0.016401       0.000940      -0.031979       0.004624      -0.020079  
     2       2      0.008274      -0.003650      -0.022063       0.030222      -0.001532       0.031000      -0.000000      -0.059319       0.005047      -0.036604  
     2       3      0.012179      -0.006147      -0.031396       0.041945       0.001405       0.042316      -0.004180      -0.078149      -0.001416      -0.047181  
     2       4      0.015813      -0.009357      -0.038841       0.049941       0.007876       0.049459      -0.012027      -0.085996      -0.014941      -0.051330  
     2       5      0.019093      -0.013370      -0.044005       0.053500       0.017735       0.052268      -0.022845      -0.082163      -0.033081      -0.050585  
     2       6      0.021947      -0.018168      -0.046672       0.052305       0.030056       0.051321      -0.034872      -0.067791      -0.051566      -0.047888  
     2       7      0.024310      -0.023621      -0.046816       0.046463       0.043291       0.047791      -0.045598      -0.045598      -0.065743      -0.046514  
     2       8      0.026131      -0.029487      -0.044600       0.036493       0.055560       0.043193      -0.052272      -0.019353      -0.072150      -0.048875  
     2       9      0.027368      -0.035434      -0.040355       0.023280       0.065002       0.039067      -0.052504       0.006814      -0.069690      -0.055641  
     2      10      0.027993      -0.041062      -0.034550       0.007998       0.070133       0.036658      -0.044831       0.029136      -0.059984      -0.065473  
     2      11      0.027993      -0.045933      -0.027747      -0.007993       0.070133       0.036658      -0.029136       0.044830      -0.046794      -0.075467  
     2      12      0.027368      -0.049617      -0.020550      -0.023275       0.065001       0.039068      -0.006813       0.052502      -0.034704      -0.082149  
     2      13      0.026131      -0.051721      -0.013553      -0.036488       0.055560       0.043195       0.019354       0.052270      -0.027526      -0.082685  
     2      14      0.024311      -0.051930      -0.007285      -0.046459       0.043291       0.047794       0.045599       0.045596      -0.026990      -0.075877  
     2      15      0.021948      -0.050037      -0.002170      -0.052302       0.030055       0.051325       0.067792       0.034870      -0.032152      -0.062600  
     2      16      0.019094      -0.045967       0.001514      -0.053497       0.017735       0.052272       0.082164       0.022843      -0.039752      -0.045533  
     2      17      0.015814      -0.039786       0.003650      -0.049939       0.007876       0.049462       0.085997       0.012026      -0.045380      -0.028271  
     2      18      0.012180      -0.031704       0.004292      -0.041943       0.001406       0.042319       0.078149       0.004179      -0.045045      -0.014128  
     2      19      0.008274      -0.022064       0.003650      -0.030221      -0.001532       0.031002       0.059319      -0.000000      -0.036610      -0.005045  
     2      20      0.004184      -0.011319       0.002072      -0.015813      -0.001577       0.016402       0.031979      -0.000941      -0.020584      -0.000980  

     3       1      0.006158      -0.001932      -0.016364       0.021948      -0.003998       0.022292       0.003492      -0.042196       0.010196      -0.025084  
     3       2      0.012179      -0.004291      -0.031703       0.041945      -0.005571       0.041971       0.004179      -0.078149       0.014131      -0.045037  
     3       3      0.017928      -0.007457      -0.045076       0.058215      -0.002812       0.056902      -0.000001      -0.102662       0.007781      -0.056432  
     3       4      0.023277      -0.011707      -0.055695       0.069313       0.005256       0.065809      -0.009786      -0.112447      -0.009185      -0.058655  
     3       5      0.028105      -0.017186      -0.062989       0.074252       0.018454       0.068493      -0.024308      -0.106636      -0.033230      -0.054050  
     3       6      0.032306      -0.023876      -0.066647       0.072595       0.035448       0.065836      -0.041165      -0.086854      -0.058129      -0.047030  
     3       7      0.035785      -0.031593      -0.066639       0.064486       0.053984       0.059594      -0.056859      -0.056860      -0.077083      -0.042480  
