1.94	0.0969179	0.245738
1.95	0.127662	0.329155
1.96	0.159338	0.399698
1.97	0.191908	0.455116
1.98	0.225336	0.494247
1.99	0.259583	0.517012
2	0.29461	0.524343
2.01	0.330378	0.518042
2.02	0.366846	0.500605
2.03	0.403972	0.475005
2.04	0.441716	0.444479
2.05	0.480033	0.412308
2.06	0.518882	0.381631
2.07	0.558219	0.355287
2.08	0.597998	0.335697
2.09	0.638175	0.324791
2.1	0.678705	0.323983
2.11	0.719542	0.334175
2.12	0.760639	0.355796
2.13	0.80195	0.388867
2.14	0.843427	0.433062
2.15	0.885024	0.487783
2.16	0.926693	0.552222
2.17	0.968385	0.62541
2.18	1.01005	0.70625
2.19	1.05165	0.793531
2.2	1.09312	0.885936
2.21	1.13443	0.982031
2.22	1.17552	1.08026
2.23	1.21634	1.17895
2.24	1.25685	1.2763
2.25	1.29699	1.37044
2.26	1.33672	1.45945
2.27	1.376	1.54145
2.28	1.41477	1.61466
2.29	1.45298	1.67754
2.3	1.49059	1.72888
2.31	1.52756	1.76787
2.32	1.56383	1.79427
2.33	1.59936	1.80838
2.34	1.6341	1.81113
2.35	1.66801	1.80407
2.36	1.70105	1.78929
2.37	1.73318	1.76933
2.38	1.76434	1.74707
2.39	1.7945	1.72554
2.4	1.82361	1.70772
2.41	1.85164	1.69637
2.42	1.87855	1.69384
2.43	1.90429	1.70191
2.44	1.92884	1.72162
2.45	1.95214	1.75327
2.46	1.97418	1.79631
2.47	1.99491	1.84946
2.48	2.01429	1.91072
2.49	2.03231	1.97757
2.5	2.04893	2.04714
2.51	2.06411	2.11638
2.52	2.07783	2.18236
2.53	2.09007	2.24237
2.54	2.10079	2.29421
2.55	2.10997	2.33624
2.56	2.1176	2.36756
2.57	2.12364	2.38796
2.58	2.12809	2.39795
2.59	2.13092	2.39864
2.6	2.13211	2.39163
2.61	2.13165	2.3788
2.62	2.12953	2.36215
2.63	2.12574	2.34356
2.64	2.12026	2.32464
2.65	2.1131	2.30656
2.66	2.10423	2.28993
2.67	2.09366	2.27476
2.68	2.08138	2.26045
2.69	2.0674	2.24587
2.7	2.05171	2.22947
2.71	2.03432	2.20945
2.72	2.01523	2.18395
2.73	1.99444	2.15124
2.74	1.97197	2.10994
2.75	1.94782	2.05918
2.76	1.922	1.9987
2.77	1.89454	1.92895
2.78	1.86544	1.85111
2.79	1.83471	1.76697
2.8	1.80239	1.67891
2.81	1.76849	1.58961
2.82	1.73302	1.50195
2.83	1.69603	1.41873
2.84	1.65752	1.34241
2.85	1.61753	1.27499
2.86	1.57609	1.21776
2.87	1.53322	1.17121
2.88	1.48897	1.13501
2.89	1.44336	1.10801
2.9	1.39642	1.08833
2.91	1.34821	1.07354
2.92	1.29874	1.06085
2.93	1.24807	1.04736
2.94	1.19624	1.03033
2.95	1.14328	1.00739
2.96	1.08924	0.976788
2.97	1.03417	0.937527
2.98	0.978116	0.88947
2.99	0.921118	0.833355
3	0.86323	0.770733
3.01	0.804501	0.70383
3.02	0.74498	0.63535
3.03	0.684722	0.56822
3.04	0.623777	0.505321
3.05	0.562199	0.449201
3.06	0.500043	0.401824
3.07	0.437363	0.364354
3.08	0.374216	0.337011
3.09	0.310658	0.319
3.1	0.246744	0.308532
3.11	0.182534	0.302937
3.12	0.118083	0.298846
3.13	0.0534513	0.292454
3.14	-0.0113041	0.279824
3.15	-0.0761243	0.25721
3.16	-0.140951	0.221382
3.17	-0.205725	0.169914
3.18	-0.270388	0.101419
3.19	-0.334881	0.0157007
3.2	-0.399145	-0.0861824
3.21	-0.463123	-0.201956
3.22	-0.526757	-0.328269
3.23	-0.589988	-0.460917
3.24	-0.652759	-0.595148
3.25	-0.715015	-0.726008
3.26	-0.776697	-0.848721
3.27	-0.837752	-0.959045
3.28	-0.898123	-1.05361
3.29	-0.957757	-1.13018
3.3	-1.0166	-1.18782
3.31	-1.0746	-1.227
3.32	-1.13171	-1.24953
3.33	-1.18787	-1.25843
3.34	-1.24303	-1.25773
3.35	-1.29715	-1.25207
3.36	-1.35018	-1.24645
3.37	-1.40208	-1.2457
3.38	-1.45279	-1.25422
3.39	-1.50228	-1.27553
3.4	-1.5505	-1.31206
3.41	-1.59742	-1.3649
3.42	-1.64299	-1.43376
3.43	-1.68717	-1.51696
3.44	-1.72994	-1.61156
3.45	-1.77125	-1.71363
3.46	-1.81107	-1.81853
3.47	-1.84938	-1.9213
3.48	-1.88614	-2.01705
3.49	-1.92132	-2.10137
3.5	-1.9549	-2.17063
3.51	-1.98686	-2.22233
3.52	-2.01717	-2.25526
3.53	-2.04581	-2.26961
3.54	-2.07277	-2.26694
3.55	-2.09802	-2.25006
3.56	-2.12156	-2.22279
3.57	-2.14337	-2.18965
3.58	-2.16344	-2.15549
3.59	-2.18176	-2.12514
3.6	-2.19832	-2.10295
3.61	-2.21312	-2.09249
3.62	-2.22616	-2.09625
3.63	-2.23743	-2.11546
3.64	-2.24694	-2.14997
3.65	-2.25469	-2.19825
3.66	-2.26068	-2.25757
3.67	-2.26492	-2.32415
3.68	-2.26742	-2.39351
3.69	-2.2682	-2.46079
3.7	-2.26725	-2.52115
3.71	-2.2646	-2.57013
3.72	-2.26027	-2.60397
3.73	-2.25426	-2.61994
3.74	-2.2466	-2.61648
3.75	-2.23732	-2.59332
3.76	-2.22643	-2.5515
3.77	-2.21397	-2.4932
3.78	-2.19995	-2.42162
3.79	-2.1844	-2.34065
3.8	-2.16736	-2.25458
3.81	-2.14886	-2.16775
3.82	-2.12892	-2.0842
3.83	-2.10759	-2.00739
3.84	-2.0849	-1.93994
3.85	-2.06088	-1.88344
3.86	-2.03558	-1.8384
3.87	-2.00903	-1.80426
3.88	-1.98128	-1.77947
3.89	-1.95236	-1.76168
3.9	-1.92233	-1.74801
3.91	-1.89122	-1.73533
3.92	-1.85908	-1.72055
3.93	-1.82595	-1.70093
