0	0	0.163235
0.0117188	0.439396	0.509231
0.0234375	0.86457	0.982709
0.0351562	1.26189	1.34167
0.046875	1.61887	1.64868
0.0585938	1.92468	1.74579
0.0703125	2.1706	1.95939
0.0820312	2.35033	2.19246
0.09375	2.46024	2.20976
0.105469	2.49947	2.30548
0.117188	2.46995	2.27835
0.128906	2.37622	2.24018
0.140625	2.22519	2.09107
0.152344	2.02584	1.99171
0.164062	1.78872	1.90769
0.175781	1.52547	1.67614
0.1875	1.2483	1.33422
0.199219	0.969419	1.01827
0.210938	0.700477	0.58389
0.222656	0.452081	0.368514
0.234375	0.233335	0.0177286
0.246094	0.051476	-0.115419
0.257812	-0.0883982	-0.242138
0.269531	-0.183493	-0.19081
0.28125	-0.233368	-0.358762
0.292969	-0.239867	-0.338748
0.304688	-0.206952	-0.35664
0.316406	-0.140423	-0.26654
0.328125	-0.0475655	0.0264885
0.339844	0.0632749	0.0278446
0.351562	0.183157	0.217212
0.363281	0.30303	0.395288
0.375	0.414214	0.446345
0.386719	0.50885	0.45912
0.398438	0.580303	0.581943
0.410156	0.623488	0.614882
0.421875	0.635112	0.640327
0.433594	0.613818	0.720286
0.445312	0.560225	0.552273
0.457031	0.476857	0.563522
0.46875	0.367977	0.422616
0.480469	0.239326	0.347988
0.492188	0.097781	0.142333
0.503906	-0.0490381	0.0799273
0.515625	-0.193211	-0.170998
0.527344	-0.32697	-0.269538
0.539062	-0.443142	-0.271047
0.550781	-0.535567	-0.326819
0.5625	-0.599456	-0.554531
0.574219	-0.631681	-0.463037
0.585938	-0.630977	-0.587467
0.597656	-0.59804	-0.671645
0.609375	-0.535529	-0.591634
0.621094	-0.447954	-0.402545
0.632812	-0.341466	-0.272054
0.644531	-0.223556	-0.322978
0.65625	-0.10268	-0.342183
0.667969	0.0121828	-0.291113
0.679688	0.112001	-0.114428
0.691406	0.188177	-0.0581702
0.703125	0.233023	0.111037
0.714844	0.240199	0.348223
0.726562	0.205097	0.352813
0.738281	0.125142	0.250991
0.75	3.33067e-16	-0.0219264
0.761719	-0.168319	-0.164141
0.773438	-0.375472	-0.386185
0.785156	-0.614911	-0.522118
0.796875	-0.878117	-0.805116
0.808594	-1.15494	-1.05151
0.820312	-1.43402	-1.35834
0.832031	-1.70327	-1.68825
0.84375	-1.95044	-1.78689
0.855469	-2.16362	-1.8187
0.867188	-2.33184	-1.93335
0.878906	-2.44554	-2.0862
0.890625	-2.4971	-2.24452
0.902344	-2.48113	-2.17475
0.914062	-2.39482	-2.13453
0.925781	-2.2381	-2.06571
0.9375	-2.01367	-1.81784
0.949219	-1.72697	-1.64333
0.960938	-1.38594	-1.24855
0.972656	-1.00075	-0.783875
0.984375	-0.583392	-0.410208
0.996094	-0.147173	-0.12499
1.00781	0.293815	0.247257
1.01953	0.725286	0.77879
1.03125	1.13334	1.09232
1.04297	1.50506	1.53403
1.05469	1.82901	1.90788
1.06641	2.09572	2.09582
1.07812	2.29805	2.29078
1.08984	2.43147	2.44302
1.10156	2.49418	2.41987
1.11328	2.4872	2.5
1.125	2.41421	2.34601
1.13672	2.28138	2.3122
1.14844	2.09704	2.12426
1.16016	1.87125	1.94318
1.17188	1.61537	1.61019
1.18359	1.34148	1.30832
1.19531	1.06183	1.19919
1.20703	0.788338	0.951711
1.21875	0.531999	0.570806
1.23047	0.302467	0.478736
1.24219	0.107636	0.238334
1.25391	-0.0466593	0.0340228
